family_group,family,task_id,m,n,config_id,block_size,num_warps,num_stages,shape_json,config_json,median_ms,effective_gbps,score,validation_error
A,softmax,softmax_m4096_n256,4096,256,18,512,1,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 3, ""num_warps"": 1}",0.00723200011998415,579.9645921478763,4.929239639301533,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,19,512,1,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 4, ""num_warps"": 1}",0.00723200011998415,579.9645921478763,4.929239639301533,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,20,512,2,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 1, ""num_warps"": 2}",0.007391999941319227,567.4112599156022,4.90735695258117,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,21,512,2,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 2, ""num_warps"": 2}",0.007391999941319227,567.4112599156022,4.90735695258117,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,22,512,2,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 3, ""num_warps"": 2}",0.007391999941319227,567.4112599156022,4.90735695258117,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,23,512,2,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 4, ""num_warps"": 2}",0.007391999941319227,567.4112599156022,4.90735695258117,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,24,512,4,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 1, ""num_warps"": 4}",0.007424000184983015,564.9655031641942,4.903037258581345,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,25,512,4,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 2, ""num_warps"": 4}",0.007455999962985516,562.5407753248601,4.898736206563236,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,26,512,4,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 3, ""num_warps"": 4}",0.007455999962985516,562.5407753248601,4.898736206563236,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,27,512,4,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 4, ""num_warps"": 4}",0.007455999962985516,562.5407753248601,4.898736206563236,3.0517578125e-05
